,Country,variable,value
0,Austria,2018,4830
1,Belgium,2018,11887
2,Bulgaria,2018,1924
3,Croatia,2018,
4,Cyprus,2018,1120
5,Czechia,2018,4363
6,Denmark,2018,7277
7,Estonia,2018,
8,Finland,2018,676
9,France,2018,56845
10,Germany,2018,40242
11,Greece,2018,3698
12,Hungary,2018,4709
13,Ireland,2018,9899
14,Italy,2018,38630
15,Latvia,2018,
16,Lithuania,2018,1305
17,Luxembourg,2018,306
18,Malta,2018,1898
19,Netherlands,2018,
20,Norway,2018,5956
21,Poland,2018,6582
22,Portugal,2018,3461
23,Romania,2018,4266
24,Slovakia,2018,3038
25,Slovenia,2018,219
26,Spain,2018,
27,Sweden,2018,34850
28,Turkey,2018,11329
29,United Kingdom,2018,114752
30,Austria,2017,4414
31,Belgium,2017,12037
32,Bulgaria,2017,1677
33,Croatia,2017,7157
34,Cyprus,2017,842
35,Czechia,2017,4189
36,Denmark,2017,6700
37,Estonia,2017,
38,Finland,2017,710
39,France,2017,58077
40,Germany,2017,54034
41,Greece,2017,4283
42,Hungary,2017,4813
43,Ireland,2017,8539
44,Italy,2017,46586
45,Latvia,2017,811
46,Lithuania,2017,1697
47,Luxembourg,2017,179
48,Malta,2017,1845
49,Netherlands,2017,
50,Norway,2017,5729
51,Poland,2017,7084
52,Portugal,2017,3307
53,Romania,2017,3577
54,Slovakia,2017,3106
55,Slovenia,2017,244
56,Spain,2017,46799
57,Sweden,2017,30885
58,Turkey,2017,11633
59,United Kingdom,2017,118342
60,Austria,2016,4462
61,Belgium,2016,11258
62,Bulgaria,2016,976
63,Croatia,2016,7107
64,Cyprus,2016,871
65,Czechia,2016,
66,Denmark,2016,
67,Estonia,2016,290
68,Finland,2016,663
69,France,2016,56482
70,Germany,2016,94467
71,Greece,2016,4314
72,Hungary,2016,4098
73,Ireland,2016,8954
74,Italy,2016,48586
75,Latvia,2016,879
76,Lithuania,2016,2384
77,Luxembourg,2016,265
78,Malta,2016,1822
79,Netherlands,2016,
80,Norway,2016,5716
81,Poland,2016,6658
82,Portugal,2016,3294
83,Romania,2016,3544
84,Slovakia,2016,3253
85,Slovenia,2016,269
86,Spain,2016,45637
87,Sweden,2016,28584
88,Turkey,2016,
89,United Kingdom,2016,119973
90,Austria,2015,4400
91,Belgium,2015,12794
92,Bulgaria,2015,
93,Croatia,2015,7537
94,Cyprus,2015,798
95,Czechia,2015,
96,Denmark,2015,5626
97,Estonia,2015,282
98,Finland,2015,656
99,France,2015,62213
100,Germany,2015,93805
101,Greece,2015,4087
102,Hungary,2015,4308
103,Ireland,2015,9489
104,Italy,2015,47213
105,Latvia,2015,751
106,Lithuania,2015,2549
107,Luxembourg,2015,290
108,Malta,2015,1829
109,Netherlands,2015,10987
110,Norway,2015,5908
111,Poland,2015,9013
112,Portugal,2015,3389
113,Romania,2015,3240
114,Slovakia,2015,2720
115,Slovenia,2015,316
116,Spain,2015,47308
117,Sweden,2015,30544
118,Turkey,2015,10884
119,United Kingdom,2015,124234
120,Austria,2014,4061
121,Belgium,2014,10702
122,Bulgaria,2014,1256
123,Croatia,2014,7812
124,Cyprus,2014,1069
125,Czechia,2014,10108
126,Denmark,2014,6275
127,Estonia,2014,281
128,Finland,2014,644
129,France,2014,53299
130,Germany,2014,91811
131,Greece,2014,4740
132,Hungary,2014,4688
133,Ireland,2014,9523
134,Italy,2014,51955
135,Latvia,2014,830
136,Lithuania,2014,2159
137,Luxembourg,2014,271
138,Malta,2014,1770
139,Netherlands,2014,10631
140,Norway,2014,8581
141,Poland,2014,7186
142,Portugal,2014,3753
143,Romania,2014,2622
144,Slovakia,2014,2483
145,Slovenia,2014,419
146,Spain,2014,48926
147,Sweden,2014,28057
148,Turkey,2014,10630
149,United Kingdom,2014,100456
150,Austria,2013,3631
151,Belgium,2013,9192
152,Bulgaria,2013,2193
153,Croatia,2013,7858
154,Cyprus,2013,1023
155,Czechia,2013,9784
156,Denmark,2013,
157,Estonia,2013,434
158,Finland,2013,1099
159,France,2013,54733
160,Germany,2013,88700
161,Greece,2013,4891
162,Hungary,2013,3985
163,Ireland,2013,8684
164,Italy,2013,57956
165,Latvia,2013,1543
166,Lithuania,2013,2209
167,Luxembourg,2013,289
168,Malta,2013,1834
169,Netherlands,2013,11129
170,Norway,2013,8412
171,Poland,2013,2759
172,Portugal,2013,4138
173,Romania,2013,1645
174,Slovakia,2013,2484
175,Slovenia,2013,290
176,Spain,2013,51946
177,Sweden,2013,1242
178,Turkey,2013,7265
179,United Kingdom,2013,101753
180,Austria,2012,
181,Belgium,2012,
182,Bulgaria,2012,
183,Croatia,2012,
184,Cyprus,2012,
185,Czechia,2012,
186,Denmark,2012,
187,Estonia,2012,
188,Finland,2012,
189,France,2012,
190,Germany,2012,
191,Greece,2012,
192,Hungary,2012,
193,Ireland,2012,
194,Italy,2012,
195,Latvia,2012,
196,Lithuania,2012,
197,Luxembourg,2012,
198,Malta,2012,
199,Netherlands,2012,
200,Norway,2012,
201,Poland,2012,
202,Portugal,2012,
203,Romania,2012,
204,Slovakia,2012,
205,Slovenia,2012,
206,Spain,2012,49678
207,Sweden,2012,
208,Turkey,2012,
209,United Kingdom,2012,
